"nom","taille","age","points","reb","pd","d","v_d","min","2p_av","3p_av","fg_av","ft_av","ro","rebb","pdd","inn","bp","ct","fa","ptss","eva","ptsss","rebbb","ast","stl","blk","equipe"
Yohann Mayola,"2m01",22,2.0,1.0,0.0,1,"1-0",4.0,"100%",-,"100%",-,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,tours
Hugo Bequignon,"1m94",22,13.2,2.7,2.8,21,"10-11",28.4,"46.6%","47.1%","46.8%","71.4%",0.5,2.7,2.8,1.7,2.4,0.2,1.9,13.2,12.0,23.0,8.0,7.0,4.0,2.0,vitre
Warren Racine,"1m88",28,12.5,3.0,3.9,22,"11-11",28.3,"60.2%","39.6%","49%","80.8%",0.4,3.0,3.9,0.7,1.7,0.1,1.6,12.5,13.6,24.0,7.0,9.0,3.0,1.0,vitre
Gaylor Lobela,"2m02",28,10.5,5.5,1.3,4,"3-1",28.3,"54.5%","33.3%","50%","70.6%",1.8,5.5,1.3,0.8,1.8,0.0,2.8,10.5,11.5,14.0,7.0,2.0,1.0,0.0,vitre
Josh Ferguson,"2m03",27,9.8,6.1,1.5,8,"4-4",29.6,"51.1%","34.6%","45.1%","55.6%",1.6,6.1,1.5,0.6,1.5,0.4,2.3,9.8,11.5,18.0,12.0,5.0,2.0,1.0,vitre
Calvin Jubenot,"1m98",37,8.5,4.7,1.3,13,"6-7",21.5,"50.6%","33.3%","48.9%","78.3%",1.2,4.7,1.3,1.0,1.8,0.3,3.5,8.5,10.0,18.0,10.0,3.0,2.0,1.0,vitre
Kilian Incredule,"1m75",27,8.5,3.6,3.6,22,"11-11",22.9,"48.9%","34%","38.9%","78.8%",0.9,3.6,3.6,0.9,1.4,0.0,2.6,8.5,10.6,23.0,9.0,8.0,3.0,0.0,vitre
Jean-Jacques Boissy,"1m83",23,7.6,2.4,1.3,11,"5-6",18.1,"51.4%","27.8%","39.7%","72.7%",0.2,2.4,1.3,1.3,2.2,0.0,2.1,7.6,5.8,16.0,5.0,2.0,4.0,0.0,vitre
Vincent Fandelet,"2m00",31,6.3,2.5,1.0,21,"11-10",21.9,"44.9%","12.5%","40.7%","62.5%",0.8,2.5,1.0,1.1,1.6,0.1,2.9,6.3,5.1,14.0,6.0,3.0,3.0,1.0,vitre
Yannis Mendy,"1m99",27,5.9,4.0,1.2,18,"8-10",24.5,"58.9%","11.1%","53.7%","60.7%",1.6,4.0,1.2,1.0,2.1,0.2,2.4,5.9,7.5,18.0,8.0,3.0,3.0,2.0,vitre
Alexis Racine,"1m91",28,5.5,1.6,1.2,21,"11-10",16.1,"50.9%","35.1%","44.6%","75%",0.6,1.6,1.2,0.9,1.4,0.0,1.6,5.5,5.1,18.0,5.0,6.0,3.0,1.0,vitre
Romain Gregoire,"2m01",32,5.0,3.8,0.6,22,"11-11",18.0,"47.2%","33.9%","38.8%","63.2%",1.0,3.8,0.6,0.4,0.5,0.5,1.9,5.0,6.7,20.0,9.0,2.0,2.0,3.0,vitre
Marcellus Roberts,"2m03",28,3.5,3.0,0.9,13,"6-7",16.4,"51.2%",-,"51.2%","44.4%",0.5,3.0,0.9,0.5,1.9,0.4,2.2,3.5,4.5,10.0,8.0,4.0,2.0,2.0,vitre
Kevin Keliki,"2m08",23,1.3,1.3,0.0,3,"1-2",5.7,"25%",-,"25%",-,1.0,1.3,0.0,0.0,1.0,0.0,1.7,1.3,-0.3,2.0,3.0,0.0,0.0,0.0,vitre
Olivier Obiejesi,"1m96",23,0.3,0.0,0.0,6,"5-1",1.8,"33.3%","0%","25%",-,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.3,-0.3,2.0,0.0,0.0,0.0,0.0,vitre
